Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,290.95001220703125,291.23748779296875,288.1937561035156,288.60626220703125,206.83999633789065,2959992
2013-01-02,289.5249938964844,291.0,287.9375,288.6499938964844,206.87127685546875,4349944
2013-01-03,289.375,293.60626220703125,288.875,292.23748779296875,209.44239807128903,10599288
2013-01-04,293.54998779296875,294.3687438964844,291.5,293.6937561035156,210.4860992431641,8454008
2013-01-07,293.88751220703125,297.48748779296875,291.9437561035156,296.8500061035156,212.74810791015625,8761624
2013-01-08,295.625,295.9937438964844,290.4375,293.0,209.9888610839844,12867424
2013-01-09,292.5249938964844,295.2250061035156,290.4125061035156,291.375,208.8242950439453,6149968
2013-01-10,291.375,292.83123779296875,288.6499938964844,290.2875061035156,208.0448455810547,10901016
2013-01-11,315.125,340.25,315.125,339.01251220703125,242.96539306640625,92852568
2013-01-14,344.9750061035156,354.6187438964844,344.03125,350.8125,251.4222717285156,50924760
2013-01-15,350.75,351.1812438964844,346.8125,348.3812561035156,249.67984008789065,20377880
2013-01-16,347.625,348.6000061035156,344.4375,345.9312438964844,247.92398071289065,11660824
2013-01-17,349.0,350.83123779296875,347.3999938964844,349.7437438964844,250.6563415527344,11767072
2013-01-18,350.625,351.25,347.1812438964844,348.5062561035156,249.76939392089844,7290592
2013-01-21,345.3812561035156,351.32501220703125,345.3812561035156,349.5375061035156,250.5084686279297,5899560
2013-01-22,349.20001220703125,349.83123779296875,347.125,347.9437561035156,249.3662872314453,5110280
2013-01-23,347.625,349.75,347.625,348.70001220703125,249.9082794189453,7458712
2013-01-24,351.25,353.5,348.84375,349.7749938964844,250.6787109375,11211296
2013-01-25,351.25,353.5,348.89373779296875,351.83123779296875,252.15234375,8442536
2013-01-28,351.5,353.45001220703125,350.125,351.33123779296875,251.79400634765625,6723008
2013-01-29,350.75,353.125,348.5687561035156,349.875,250.75035095214844,6197184
2013-01-30,350.59375,350.7437438964844,347.5687561035156,348.83123779296875,250.0022735595703,6805528
2013-01-31,349.0,350.88751220703125,346.25,348.6875,249.89935302734372,17480440
2013-02-01,348.88751220703125,350.23748779296875,344.0,346.3687438964844,248.23748779296875,7899648
2013-02-04,347.625,348.75,343.125,345.95001220703125,247.93739318847656,7500016
2013-02-05,345.40625,347.79376220703125,343.1937561035156,344.48748779296875,246.8892059326172,6166112
2013-02-06,346.90625,348.5062561035156,344.48126220703125,347.0,248.68988037109372,9097344
2013-02-07,348.25,349.875,347.5062561035156,348.6875,249.89935302734372,10704472
2013-02-08,347.89373779296875,352.0874938964844,346.53125,348.6812438964844,249.89480590820312,5482696
2013-02-11,350.15625,351.8687438964844,348.11248779296875,349.0062561035156,250.1277313232422,7394792
2013-02-12,346.25,346.76251220703125,342.71875,344.40625,246.8309783935547,4442392
2013-02-13,344.625,349.64373779296875,343.125,348.6937561035156,249.90382385253903,6322888
2013-02-14,349.29998779296875,353.5,349.29376220703125,351.59375,251.9821014404297,6894000
2013-02-15,348.75,351.0625,347.0375061035156,348.57501220703125,249.81866455078125,5194256
2013-02-18,347.875,348.3374938964844,345.375,347.51251220703125,249.05715942382807,2754784
2013-02-19,347.51251220703125,353.125,345.8812561035156,352.5562438964844,252.6719665527344,4643344
2013-02-20,353.15625,354.04376220703125,351.0625,352.4312438964844,252.5823516845703,5545224
2013-02-21,350.20001220703125,352.48748779296875,349.14373779296875,350.9750061035156,251.53878784179688,5558744
2013-02-22,349.8374938964844,356.875,349.63751220703125,355.0687561035156,254.4726409912109,8703536
2013-02-25,358.75,365.25,358.45001220703125,364.7250061035156,261.3931884765625,10457648
2013-02-26,364.5,371.1749877929688,364.5,369.9750061035156,265.1557006835937,12173544
2013-02-27,368.5,368.5,362.7625122070313,363.8187561035156,260.74365234375,7029760
2013-02-28,364.4125061035156,366.9812622070313,360.6749877929688,363.375,260.4256591796875,11808104
2013-03-01,364.25,370.1749877929688,361.5,364.2250061035156,261.0347900390625,8414632
2013-03-04,365.75,367.8125,359.01873779296875,362.9312438964844,260.10748291015625,10108320
2013-03-05,365.5687561035156,367.4249877929688,364.15625,365.1625061035156,261.70672607421875,7171944
2013-03-06,368.375,372.0874938964844,365.78125,371.2625122070313,266.0785522460937,12205480
2013-03-07,372.65625,376.2250061035156,372.5,375.5437622070313,269.1468505859375,13715360
2013-03-08,373.5,373.625,369.65625,371.28125,266.0919494628906,6162896
2013-03-11,372.7250061035156,373.75,366.25,368.21875,263.8970031738281,4866160
2013-03-12,367.5,368.0874938964844,364.0,364.7625122070313,261.4200439453125,5714056
2013-03-13,361.25,361.25,356.26251220703125,357.9312438964844,256.524169921875,10730136
2013-03-14,358.25,361.1124877929688,355.36248779296875,359.26251220703125,257.478271484375,8332320
2013-03-15,359.54376220703125,363.9562377929688,358.5062561035156,359.78125,257.8500366210937,7260792
2013-03-18,358.28125,361.25,356.375,357.59375,256.2822570800781,6446824
2013-03-19,359.375,360.7749938964844,355.13751220703125,357.0,255.85678100585935,11976144
2013-03-20,358.1000061035156,359.3374938964844,353.4437561035156,358.20623779296875,256.7212219238281,8994640
2013-03-21,360.375,361.8125,357.75,359.1000061035156,257.36181640625,9940080
2013-03-22,356.2437438964844,359.4375,353.75,357.8999938964844,256.50177001953125,7370288
2013-03-25,355.6499938964844,358.125,354.08123779296875,356.59375,255.56561279296875,5036856
2013-03-26,355.625,358.70623779296875,354.25,356.8187561035156,255.7268524169922,3415584
2013-03-28,358.125,362.1187438964844,356.3999938964844,361.1687622070313,258.8444519042969,12348048
2013-04-01,363.84375,369.1937561035156,363.84375,368.0249938964844,263.7581787109375,7422040
2013-04-02,366.25,373.7124938964844,364.3562622070313,371.1312561035156,265.9843139648437,9720888
2013-04-03,368.6124877929688,374.9437561035156,368.5,371.0562438964844,265.9306030273437,8355472
2013-04-04,368.125,368.6437377929688,359.0062561035156,360.0062561035156,258.0112609863281,7499960
2013-04-05,359.875,362.375,356.25,358.23126220703125,256.7391662597656,4372960
2013-04-08,356.25,359.20623779296875,353.40625,353.98748779296875,253.69778442382807,3716360
